,Motor + Prop Name,Voltage [V],Battery config,Max Current [A],Max Current drawn [A],Thrust [g],Power [W],Weight of one [g],Extra considerations,Average Power Expenditure,Total Capacity Required [mAh],Best battery weight,Battery capacity,Number of Batteries,Overall Weight [kg]
0,U7 v2.0 KV420 + 17.5x5.8 CF,25,7S,40,39.7,2880,455,296,,406,56982,7346,60000,2,9714
1,U7 v2.0 KV490 + 17.5x5.8 CF,22.2,7S,44,53,3450,638,299,How does it drawn more current than allowed idk,433,68437,7419,69000,3,9811
2,MN505S KV380+ P18*6.1,23.96,6S,50,39.8,2936,471,225,,409,59895,7346,60000,2,9146
3,MAS 14X7X3 + COBRA 4120 KV710,14,4S,68,65.22,4215,965.3,290,This is max thrust ,448,112281,9603,114400,22,11923
4,APC14X7 + AT4130 KV300 LONG SHAFT ,25,8S,75,53.21,2989,595.23,405,,483,67789,7419,69000,3,10659
5,APC15X8 + AT4130 KV300 ,43,12S,75,72,4010,816,405,,405,33048,10680,40000,4,13920
6,APC 15X6E+ COBRA 4120 KV710,14.8,4S,68,61.49,4154,910,290,This is max thrust ,448,106211,8555,110000,5,10875
7,APC 16X8 + AT4130 KV230,44.2,12S,60,43.78,2906,468.76,408,,399,31674,8282,32000,2,11546
8,APC 17X10 + AT4130 KV450,21.92,6S,75,74.7,3610,627,408,,412,65950,7392,66000,3,10656
9,APC18X8 +AT4130KV300,22.2,8S,75,55.7,3438,512.26,405,,369,58321,7346,60000,2,10586
10,APC18X8 +AT4130KV450,21,6S,75,72.7,3824,615.93,408,,356,59482,7346,60000,2,10610
