,Motor + Prop Name,Voltage [V],Battery config,Max Current [A],Max Current drawn [A],Thrust [g],Power [W],Weight of one [g],Extra considerations,Average Power Expenditure,Total Capacity Required [mAh],Best battery weight,Battery capacity,Number of Batteries,Overall Weight [kg]
0,U7 v2.0 KV420 + 17.5x5.8 CF,25.0,7S,40,39.7,2880,455.0,296,,406,45586,4946,46000,2,7314
1,U7 v2.0 KV490 + 17.5x5.8 CF,22.2,7S,44,53.0,3450,638.0,299,How does it drawn more current than allowed idk,433,54749,6480,55000,5,8872
2,MN505S KV380+ P18*6.1,23.96,6S,50,39.8,2936,471.0,225,,409,47916,5154,50000,2,6954
3,MAS 14X7X3 + COBRA 4120 KV710,14.0,4S,68,65.22,4215,965.3,290,This is max thrust ,448,89825,7857,93600,18,10177
4,APC14X7 + AT4130 KV300 LONG SHAFT ,25.0,8S,75,53.21,2989,595.23,405,,483,54232,6480,55000,5,9720
5,APC15X8 + AT4130 KV300 ,43.0,12S,75,72.0,4010,816.0,405,,405,26438,8010,30000,3,11250
6,APC 15X6E+ COBRA 4120 KV710,14.8,4S,68,61.49,4154,910.0,290,This is max thrust ,448,84969,6844,88000,4,9164
7,APC 16X8 + AT4130 KV230,44.2,12S,60,43.78,2906,468.76,408,,399,25339,8010,30000,3,11274
8,APC 17X10 + AT4130 KV450,21.92,6S,75,74.7,3610,627.0,408,,412,52760,6480,55000,5,9744
9,APC18X8 +AT4130KV300,22.2,8S,75,55.7,3438,512.26,405,,369,46657,5154,50000,2,8394
10,APC18X8 +AT4130KV450,21.0,6S,75,72.7,3824,615.93,408,,356,47586,5154,50000,2,8418
